x,y,z,value
4.000000,4.000000,0.000000,1.000000
4.000000,0.000000,0.000000,1.000000
0.000000,4.000000,0.000000,1.000000
0.000000,0.000000,0.000000,1.000000
0.250000,0.000000,0.000000,-0.876034
0.500000,0.000000,0.000000,-2.499482
0.750000,0.000000,0.000000,-3.875893
1.000000,0.000000,0.000000,-4.997670
1.250000,0.000000,0.000000,-5.871739
1.500000,0.000000,0.000000,-6.500163
1.750000,0.000000,0.000000,-6.874951
2.000000,0.000000,0.000000,-6.997010
2.250000,0.000000,0.000000,-6.874662
2.500000,0.000000,0.000000,-6.499965
2.750000,0.000000,0.000000,-5.873969
3.000000,0.000000,0.000000,-4.999404
3.250000,0.000000,0.000000,-3.875456
3.500000,0.000000,0.000000,-2.499860
3.750000,0.000000,0.000000,-0.875349
4.000000,0.250000,0.000000,1.000000
4.000000,0.500000,0.000000,1.000000
4.000000,0.750000,0.000000,1.000000
4.000000,1.000000,0.000000,1.000000
4.000000,1.250000,0.000000,1.000000
4.000000,1.500000,0.000000,1.000000
4.000000,1.750000,0.000000,1.000000
4.000000,2.000000,0.000000,1.000000
4.000000,2.250000,0.000000,1.000000
4.000000,2.500000,0.000000,1.000000
4.000000,2.750000,0.000000,1.000000
4.000000,3.000000,0.000000,1.000000
4.000000,3.250000,0.000000,1.000000
4.000000,3.500000,0.000000,1.000000
4.000000,3.750000,0.000000,1.000000
3.750000,4.000000,0.000000,-0.876034
3.500000,4.000000,0.000000,-2.498527
3.250000,4.000000,0.000000,-3.873173
3.000000,4.000000,0.000000,-4.997641
2.750000,4.000000,0.000000,-5.875857
2.500000,4.000000,0.000000,-6.499927
2.250000,4.000000,0.000000,-6.875453
2.000000,4.000000,0.000000,-7.000408
1.750000,4.000000,0.000000,-6.875144
1.500000,4.000000,0.000000,-6.499971
1.250000,4.000000,0.000000,-5.874829
1.000000,4.000000,0.000000,-4.999651
0.750000,4.000000,0.000000,-3.874337
0.500000,4.000000,0.000000,-2.498746
0.250000,4.000000,0.000000,-0.874748
0.000000,3.750000,0.000000,1.000000
0.000000,3.500000,0.000000,1.000000
0.000000,3.250000,0.000000,1.000000
0.000000,3.000000,0.000000,1.000000
0.000000,2.750000,0.000000,1.000000
0.000000,2.500000,0.000000,1.000000
0.000000,2.250000,0.000000,1.000000
0.000000,2.000000,0.000000,1.000000
0.000000,1.750000,0.000000,1.000000
0.000000,1.500000,0.000000,1.000000
0.000000,1.250000,0.000000,1.000000
0.000000,1.000000,0.000000,1.000000
0.000000,0.750000,0.000000,1.000000
0.000000,0.500000,0.000000,1.000000
0.000000,0.250000,0.000000,1.000000
1.875000,3.783494,0.000000,-6.968964
0.238382,1.854906,0.000000,-0.797366
2.160243,0.238690,0.000000,-6.953484
3.783494,2.125000,0.000000,-0.639987
0.235278,2.659776,0.000000,-0.775701
2.661214,3.767036,0.000000,-6.130803
1.410714,0.238943,0.000000,-6.310383
3.783494,1.375000,0.000000,-0.637563
1.125000,3.783494,0.000000,-5.468523
3.783494,2.875000,0.000000,-0.637562
0.229924,1.117202,0.000000,-0.732413
2.840401,0.231255,0.000000,-5.591052
0.833333,0.181296,0.000000,-4.277627
3.767942,0.853150,0.000000,-0.752992
0.222163,3.127747,0.000000,-0.684544
3.127301,3.777864,0.000000,-4.460161
3.784673,3.372957,0.000000,-0.630610
0.627043,3.784673,0.000000,-3.228862
3.372957,0.215327,0.000000,-3.230437
0.245167,0.599071,0.000000,-0.846398
0.226424,3.602044,0.000000,-0.715760
3.602044,3.773576,0.000000,-1.868267
0.397291,0.202892,0.000000,-1.863852
3.773576,0.397956,0.000000,-0.716528
2.125000,3.783494,0.000000,-6.969462
2.000000,3.566987,0.000000,-7.000011
1.750000,3.566987,0.000000,-6.874988
1.875000,3.350481,0.000000,-6.968601
1.625000,3.350481,0.000000,-6.718644
1.750000,3.133975,0.000000,-6.874804
2.000000,3.133975,0.000000,-6.999728
1.875000,2.917468,0.000000,-6.968468
2.125000,2.917468,0.000000,-6.968414
2.000000,2.700962,0.000000,-6.999645
1.750000,2.700962,0.000000,-6.874690
1.875000,2.484456,0.000000,-6.968355
2.125000,2.484456,0.000000,-6.968334
2.000000,2.267949,0.000000,-6.999529
2.250000,2.267949,0.000000,-6.874542
2.125000,2.051443,0.000000,-6.968206
1.875000,2.051443,0.000000,-6.968196
2.000000,1.834936,0.000000,-6.999354
1.750000,1.834936,0.000000,-6.874348
2.250000,1.834936,0.000000,-6.874368
1.875000,1.618430,0.000000,-6.967997
1.625000,1.618430,0.000000,-6.717987
1.500000,1.834936,0.000000,-6.499348
1.750000,1.401924,0.000000,-6.874131
1.500000,1.401924,0.000000,-6.499117
2.375000,2.484456,0.000000,-6.718330
2.500000,2.267949,0.000000,-6.499609
2.625000,2.484456,0.000000,-6.218350
2.750000,2.267949,0.000000,-5.874832
2.000000,1.401924,0.000000,-6.999168
1.500000,3.133975,0.000000,-6.499863
1.625000,1.185417,0.000000,-6.717687
1.375000,1.185417,0.000000,-6.217761
