x,y,z,value
4.000000,4.000000,0.000000,1.000000
4.000000,0.000000,0.000000,1.000000
0.000000,4.000000,0.000000,1.000000
0.000000,0.000000,0.000000,1.000000
0.200000,0.000000,0.000000,0.874251
0.400000,0.000000,0.000000,0.761699
0.600000,0.000000,0.000000,0.684155
0.800000,0.000000,0.000000,0.611021
1.000000,0.000000,0.000000,0.557600
1.200000,0.000000,0.000000,0.515610
1.400000,0.000000,0.000000,0.484380
1.600000,0.000000,0.000000,0.462650
1.800000,0.000000,0.000000,0.450454
2.000000,0.000000,0.000000,0.446613
2.200000,0.000000,0.000000,0.450669
2.400000,0.000000,0.000000,0.462525
2.600000,0.000000,0.000000,0.482542
2.800000,0.000000,0.000000,0.513807
3.000000,0.000000,0.000000,0.554526
3.200000,0.000000,0.000000,0.608339
3.400000,0.000000,0.000000,0.673925
3.600000,0.000000,0.000000,0.762566
3.800000,0.000000,0.000000,0.871411
4.000000,0.200000,0.000000,1.000000
4.000000,0.400000,0.000000,1.000000
4.000000,0.600000,0.000000,1.000000
4.000000,0.800000,0.000000,1.000000
4.000000,1.000000,0.000000,1.000000
4.000000,1.200000,0.000000,1.000000
4.000000,1.400000,0.000000,1.000000
4.000000,1.600000,0.000000,1.000000
4.000000,1.800000,0.000000,1.000000
4.000000,2.000000,0.000000,1.000000
4.000000,2.200000,0.000000,1.000000
4.000000,2.400000,0.000000,1.000000
4.000000,2.600000,0.000000,1.000000
4.000000,2.800000,0.000000,1.000000
4.000000,3.000000,0.000000,1.000000
4.000000,3.200000,0.000000,1.000000
4.000000,3.400000,0.000000,1.000000
4.000000,3.600000,0.000000,1.000000
4.000000,3.800000,0.000000,1.000000
3.800000,4.000000,0.000000,0.873519
3.600000,4.000000,0.000000,0.767281
3.400000,4.000000,0.000000,0.679795
3.200000,4.000000,0.000000,0.610769
3.000000,4.000000,0.000000,0.556883
2.800000,4.000000,0.000000,0.515612
2.600000,4.000000,0.000000,0.485122
2.400000,4.000000,0.000000,0.464141
2.200000,4.000000,0.000000,0.451842
2.000000,4.000000,0.000000,0.447760
1.800000,4.000000,0.000000,0.451743
1.600000,4.000000,0.000000,0.463940
1.400000,4.000000,0.000000,0.484821
1.200000,4.000000,0.000000,0.515222
1.000000,4.000000,0.000000,0.556454
0.800000,4.000000,0.000000,0.610472
0.600000,4.000000,0.000000,0.680084
0.400000,4.000000,0.000000,0.768862
0.200000,4.000000,0.000000,0.873799
0.000000,3.800000,0.000000,1.000000
0.000000,3.600000,0.000000,1.000000
0.000000,3.400000,0.000000,1.000000
0.000000,3.200000,0.000000,1.000000
0.000000,3.000000,0.000000,1.000000
0.000000,2.800000,0.000000,1.000000
0.000000,2.600000,0.000000,1.000000
0.000000,2.400000,0.000000,1.000000
0.000000,2.200000,0.000000,1.000000
0.000000,2.000000,0.000000,1.000000
0.000000,1.800000,0.000000,1.000000
0.000000,1.600000,0.000000,1.000000
0.000000,1.400000,0.000000,1.000000
0.000000,1.200000,0.000000,1.000000
0.000000,1.000000,0.000000,1.000000
0.000000,0.800000,0.000000,1.000000
0.000000,0.600000,0.000000,1.000000
0.000000,0.400000,0.000000,1.000000
0.000000,0.200000,0.000000,1.000000
1.900000,3.826795,0.000000,0.448725
0.201866,1.908753,0.000000,0.849741
2.100000,0.173205,0.000000,0.447694
3.864030,2.093801,0.000000,0.913017
0.173205,2.700000,0.000000,0.878615
2.700000,3.826795,0.000000,0.499071
1.300000,0.173205,0.000000,0.498331
3.824517,1.302060,0.000000,0.875834
1.300000,3.826795,0.000000,0.498709
0.169021,1.300000,0.000000,0.882904
3.851288,2.697094,0.000000,0.894540
2.700000,0.173205,0.000000,0.495412
3.300000,3.826795,0.000000,0.643137
0.177709,3.301840,0.000000,0.888309
0.167529,0.712139,0.000000,0.871889
3.308009,0.167641,0.000000,0.640961
0.700000,3.826795,0.000000,0.642805
3.806630,3.319041,0.000000,0.866296
3.822291,0.698160,0.000000,0.881285
0.700000,0.173205,0.000000,0.644080
1.708799,0.178580,0.000000,0.454926
3.820527,1.690172,0.000000,0.869085
0.158286,2.304380,0.000000,0.880448
2.300000,3.826795,0.000000,0.456925
3.692265,0.168739,0.000000,0.812357
3.692265,3.831261,0.000000,0.816180
0.181139,3.681635,0.000000,0.884434
0.169633,0.299674,0.000000,0.880860
1.700000,3.826795,0.000000,0.456774
1.800000,3.653590,0.000000,0.451678
1.600000,3.653590,0.000000,0.463850
1.700000,3.480385,0.000000,0.456638
1.900000,3.480385,0.000000,0.448616
1.800000,3.307180,0.000000,0.451524
2.000000,3.307180,0.000000,0.447560
1.900000,3.133975,0.000000,0.448454
2.100000,3.133975,0.000000,0.448497
2.000000,2.960769,0.000000,0.447392
1.800000,2.960769,0.000000,0.451359
1.900000,2.787565,0.000000,0.448298
2.100000,2.787565,0.000000,0.448321
2.000000,2.614359,0.000000,0.447234
2.200000,2.614359,0.000000,0.451244
2.100000,2.441154,0.000000,0.448152
1.900000,2.441154,0.000000,0.448163
2.000000,2.267949,0.000000,0.447085
