x,y,z,value
4.000000,4.000000,0.000000,0.252000
4.000000,0.000000,0.000000,0.252000
0.000000,4.000000,0.000000,0.142000
0.000000,0.000000,0.000000,0.142000
0.200000,0.000000,0.000000,0.146808
0.400000,0.000000,0.000000,0.152525
0.600000,0.000000,0.000000,0.157578
0.800000,0.000000,0.000000,0.163643
1.000000,0.000000,0.000000,0.169301
1.200000,0.000000,0.000000,0.175047
1.400000,0.000000,0.000000,0.180834
1.600000,0.000000,0.000000,0.186609
1.800000,0.000000,0.000000,0.192217
2.000000,0.000000,0.000000,0.197757
2.200000,0.000000,0.000000,0.203312
2.400000,0.000000,0.000000,0.208804
2.600000,0.000000,0.000000,0.214102
2.800000,0.000000,0.000000,0.219728
3.000000,0.000000,0.000000,0.225260
3.200000,0.000000,0.000000,0.230901
3.400000,0.000000,0.000000,0.236161
3.600000,0.000000,0.000000,0.241693
3.800000,0.000000,0.000000,0.247100
4.000000,0.200000,0.000000,0.252000
4.000000,0.400000,0.000000,0.252000
4.000000,0.600000,0.000000,0.252000
4.000000,0.800000,0.000000,0.252000
4.000000,1.000000,0.000000,0.252000
4.000000,1.200000,0.000000,0.252000
4.000000,1.400000,0.000000,0.252000
4.000000,1.600000,0.000000,0.252000
4.000000,1.800000,0.000000,0.252000
4.000000,2.000000,0.000000,0.252000
4.000000,2.200000,0.000000,0.252000
4.000000,2.400000,0.000000,0.252000
4.000000,2.600000,0.000000,0.252000
4.000000,2.800000,0.000000,0.252000
4.000000,3.000000,0.000000,0.252000
4.000000,3.200000,0.000000,0.252000
4.000000,3.400000,0.000000,0.252000
4.000000,3.600000,0.000000,0.252000
4.000000,3.800000,0.000000,0.252000
3.800000,4.000000,0.000000,0.247212
3.600000,4.000000,0.000000,0.241913
3.400000,4.000000,0.000000,0.236358
3.200000,4.000000,0.000000,0.230781
3.000000,4.000000,0.000000,0.225202
2.800000,4.000000,0.000000,0.219628
2.600000,4.000000,0.000000,0.214056
2.400000,4.000000,0.000000,0.208484
2.200000,4.000000,0.000000,0.202910
2.000000,4.000000,0.000000,0.197332
1.800000,4.000000,0.000000,0.191749
1.600000,4.000000,0.000000,0.186160
1.400000,4.000000,0.000000,0.180565
1.200000,4.000000,0.000000,0.174959
1.000000,4.000000,0.000000,0.169337
0.800000,4.000000,0.000000,0.163687
0.600000,4.000000,0.000000,0.157991
0.400000,4.000000,0.000000,0.152254
0.200000,4.000000,0.000000,0.146891
0.000000,3.800000,0.000000,0.142000
0.000000,3.600000,0.000000,0.142000
0.000000,3.400000,0.000000,0.142000
0.000000,3.200000,0.000000,0.142000
0.000000,3.000000,0.000000,0.142000
0.000000,2.800000,0.000000,0.142000
0.000000,2.600000,0.000000,0.142000
0.000000,2.400000,0.000000,0.142000
0.000000,2.200000,0.000000,0.142000
0.000000,2.000000,0.000000,0.142000
0.000000,1.800000,0.000000,0.142000
0.000000,1.600000,0.000000,0.142000
0.000000,1.400000,0.000000,0.142000
0.000000,1.200000,0.000000,0.142000
0.000000,1.000000,0.000000,0.142000
0.000000,0.800000,0.000000,0.142000
0.000000,0.600000,0.000000,0.142000
0.000000,0.400000,0.000000,0.142000
0.000000,0.200000,0.000000,0.142000
1.900000,3.826795,0.000000,0.194541
0.201866,1.908753,0.000000,0.147955
2.100000,0.173205,0.000000,0.200531
3.864030,2.093801,0.000000,0.248740
0.173205,2.700000,0.000000,0.146734
2.700000,3.826795,0.000000,0.216840
1.300000,0.173205,0.000000,0.177967
3.824517,1.302060,0.000000,0.247200
1.300000,3.826795,0.000000,0.177767
0.169021,1.300000,0.000000,0.146536
3.851288,2.697094,0.000000,0.248070
