x,y,z,value
4.000000,4.000000,0.000000,1.000000
4.000000,0.000000,0.000000,1.000000
0.000000,4.000000,0.000000,1.000000
0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,4.000000,1.000000
4.000000,0.000000,4.000000,1.000000
4.000000,4.000000,4.000000,1.000000
0.000000,4.000000,4.000000,1.000000
0.400000,0.000000,0.000000,-1.848907
0.800000,0.000000,0.000000,-4.055830
1.200000,0.000000,0.000000,-5.646119
1.600000,0.000000,0.000000,-6.617894
2.000000,0.000000,0.000000,-6.932431
2.400000,0.000000,0.000000,-6.611305
2.800000,0.000000,0.000000,-5.639710
3.200000,0.000000,0.000000,-4.048658
3.600000,0.000000,0.000000,-1.841526
4.000000,0.400000,0.000000,1.000000
4.000000,0.800000,0.000000,1.000000
4.000000,1.200000,0.000000,1.000000
4.000000,1.600000,0.000000,1.000000
4.000000,2.000000,0.000000,1.000000
4.000000,2.400000,0.000000,1.000000
4.000000,2.800000,0.000000,1.000000
4.000000,3.200000,0.000000,1.000000
4.000000,3.600000,0.000000,1.000000
3.600000,4.000000,0.000000,-1.824533
3.200000,4.000000,0.000000,-4.039968
2.800000,4.000000,0.000000,-5.660364
2.400000,4.000000,0.000000,-6.624707
2.000000,4.000000,0.000000,-6.942672
1.600000,4.000000,0.000000,-6.620918
1.200000,4.000000,0.000000,-5.649121
0.800000,4.000000,0.000000,-4.046457
0.400000,4.000000,0.000000,-1.840292
0.000000,3.600000,0.000000,1.000000
0.000000,3.200000,0.000000,1.000000
0.000000,2.800000,0.000000,1.000000
0.000000,2.400000,0.000000,1.000000
0.000000,2.000000,0.000000,1.000000
0.000000,1.600000,0.000000,1.000000
0.000000,1.200000,0.000000,1.000000
0.000000,0.800000,0.000000,1.000000
0.000000,0.400000,0.000000,1.000000
0.400000,0.000000,4.000000,-1.842756
0.800000,0.000000,4.000000,-4.055918
1.200000,0.000000,4.000000,-5.648043
1.600000,0.000000,4.000000,-6.629411
2.000000,0.000000,4.000000,-6.929719
2.400000,0.000000,4.000000,-6.607697
2.800000,0.000000,4.000000,-5.642666
3.200000,0.000000,4.000000,-4.042472
3.600000,0.000000,4.000000,-1.838325
4.000000,0.400000,4.000000,1.000000
4.000000,0.800000,4.000000,1.000000
4.000000,1.200000,4.000000,1.000000
4.000000,1.600000,4.000000,1.000000
4.000000,2.000000,4.000000,1.000000
4.000000,2.400000,4.000000,1.000000
4.000000,2.800000,4.000000,1.000000
4.000000,3.200000,4.000000,1.000000
4.000000,3.600000,4.000000,1.000000
3.600000,4.000000,4.000000,-1.860799
3.200000,4.000000,4.000000,-4.071568
2.800000,4.000000,4.000000,-5.662736
2.400000,4.000000,4.000000,-6.632864
2.000000,4.000000,4.000000,-6.948318
1.600000,4.000000,4.000000,-6.620584
1.200000,4.000000,4.000000,-5.639672
0.800000,4.000000,4.000000,-4.036252
0.400000,4.000000,4.000000,-1.834089
0.000000,3.600000,4.000000,1.000000
0.000000,3.200000,4.000000,1.000000
0.000000,2.800000,4.000000,1.000000
0.000000,2.400000,4.000000,1.000000
0.000000,2.000000,4.000000,1.000000
0.000000,1.600000,4.000000,1.000000
0.000000,1.200000,4.000000,1.000000
0.000000,0.800000,4.000000,1.000000
0.000000,0.400000,4.000000,1.000000
0.000000,0.000000,0.400000,1.000000
0.000000,0.000000,0.800000,1.000000
0.000000,0.000000,1.200000,1.000000
0.000000,0.000000,1.600000,1.000000
0.000000,0.000000,2.000000,1.000000
0.000000,0.000000,2.400000,1.000000
0.000000,0.000000,2.800000,1.000000
0.000000,0.000000,3.200000,1.000000
0.000000,0.000000,3.600000,1.000000
4.000000,0.000000,0.400000,1.000000
4.000000,0.000000,0.800000,1.000000
4.000000,0.000000,1.200000,1.000000
4.000000,0.000000,1.600000,1.000000
4.000000,0.000000,2.000000,1.000000
4.000000,0.000000,2.400000,1.000000
4.000000,0.000000,2.800000,1.000000
4.000000,0.000000,3.200000,1.000000
4.000000,0.000000,3.600000,1.000000
4.000000,4.000000,0.400000,1.000000
4.000000,4.000000,0.800000,1.000000
4.000000,4.000000,1.200000,1.000000
4.000000,4.000000,1.600000,1.000000
4.000000,4.000000,2.000000,1.000000
4.000000,4.000000,2.400000,1.000000
4.000000,4.000000,2.800000,1.000000
4.000000,4.000000,3.200000,1.000000
4.000000,4.000000,3.600000,1.000000
0.000000,4.000000,0.400000,1.000000
0.000000,4.000000,0.800000,1.000000
0.000000,4.000000,1.200000,1.000000
0.000000,4.000000,1.600000,1.000000
0.000000,4.000000,2.000000,1.000000
0.000000,4.000000,2.400000,1.000000
0.000000,4.000000,2.800000,1.000000
0.000000,4.000000,3.200000,1.000000
0.000000,4.000000,3.600000,1.000000
1.800000,3.653590,0.000000,-6.867768
0.369472,1.842297,0.000000,-1.668640
2.200000,0.346410,0.000000,-6.848409
3.660887,2.187361,0.000000,-1.455840
2.600000,3.653590,0.000000,-6.230681
0.355417,2.603681,0.000000,-1.550098
3.653590,1.400000,0.000000,-1.486367
1.390121,0.327630,0.000000,-6.217396
