x,y,z,value
4.000000,4.000000,0.000000,1.000000
4.000000,0.000000,0.000000,1.000000
0.000000,4.000000,0.000000,1.000000
0.000000,0.000000,0.000000,1.000000
0.000000,0.000000,4.000000,1.000000
4.000000,0.000000,4.000000,1.000000
4.000000,4.000000,4.000000,1.000000
0.000000,4.000000,4.000000,1.000000
0.400000,0.000000,0.000000,0.788420
0.800000,0.000000,0.000000,0.625557
1.200000,0.000000,0.000000,0.521469
1.600000,0.000000,0.000000,0.465522
2.000000,0.000000,0.000000,0.445665
2.400000,0.000000,0.000000,0.461224
2.800000,0.000000,0.000000,0.516182
3.200000,0.000000,0.000000,0.618135
3.600000,0.000000,0.000000,0.788707
4.000000,0.400000,0.000000,1.000000
4.000000,0.800000,0.000000,1.000000
4.000000,1.200000,0.000000,1.000000
4.000000,1.600000,0.000000,1.000000
4.000000,2.000000,0.000000,1.000000
4.000000,2.400000,0.000000,1.000000
4.000000,2.800000,0.000000,1.000000
4.000000,3.200000,0.000000,1.000000
4.000000,3.600000,0.000000,1.000000
3.600000,4.000000,0.000000,0.788139
3.200000,4.000000,0.000000,0.618836
2.800000,4.000000,0.000000,0.506612
2.400000,4.000000,0.000000,0.454346
2.000000,4.000000,0.000000,0.442304
1.600000,4.000000,0.000000,0.462970
1.200000,4.000000,0.000000,0.520275
0.800000,4.000000,0.000000,0.622853
0.400000,4.000000,0.000000,0.782599
0.000000,3.600000,0.000000,1.000000
0.000000,3.200000,0.000000,1.000000
0.000000,2.800000,0.000000,1.000000
0.000000,2.400000,0.000000,1.000000
0.000000,2.000000,0.000000,1.000000
0.000000,1.600000,0.000000,1.000000
0.000000,1.200000,0.000000,1.000000
0.000000,0.800000,0.000000,1.000000
0.000000,0.400000,0.000000,1.000000
0.400000,0.000000,4.000000,0.793869
0.800000,0.000000,4.000000,0.616056
1.200000,0.000000,4.000000,0.518908
1.600000,0.000000,4.000000,0.466865
2.000000,0.000000,4.000000,0.448472
2.400000,0.000000,4.000000,0.462845
2.800000,0.000000,4.000000,0.518523
3.200000,0.000000,4.000000,0.611234
3.600000,0.000000,4.000000,0.787882
4.000000,0.400000,4.000000,1.000000
4.000000,0.800000,4.000000,1.000000
4.000000,1.200000,4.000000,1.000000
4.000000,1.600000,4.000000,1.000000
4.000000,2.000000,4.000000,1.000000
4.000000,2.400000,4.000000,1.000000
4.000000,2.800000,4.000000,1.000000
4.000000,3.200000,4.000000,1.000000
4.000000,3.600000,4.000000,1.000000
3.600000,4.000000,4.000000,0.793785
3.200000,4.000000,4.000000,0.620775
2.800000,4.000000,4.000000,0.517916
2.400000,4.000000,4.000000,0.464599
2.000000,4.000000,4.000000,0.449624
1.600000,4.000000,4.000000,0.468749
1.200000,4.000000,4.000000,0.522902
0.800000,4.000000,4.000000,0.619739
0.400000,4.000000,4.000000,0.785758
0.000000,3.600000,4.000000,1.000000
0.000000,3.200000,4.000000,1.000000
0.000000,2.800000,4.000000,1.000000
0.000000,2.400000,4.000000,1.000000
0.000000,2.000000,4.000000,1.000000
0.000000,1.600000,4.000000,1.000000
0.000000,1.200000,4.000000,1.000000
0.000000,0.800000,4.000000,1.000000
0.000000,0.400000,4.000000,1.000000
0.000000,0.000000,0.400000,1.000000
0.000000,0.000000,0.800000,1.000000
0.000000,0.000000,1.200000,1.000000
0.000000,0.000000,1.600000,1.000000
0.000000,0.000000,2.000000,1.000000
0.000000,0.000000,2.400000,1.000000
0.000000,0.000000,2.800000,1.000000
0.000000,0.000000,3.200000,1.000000
0.000000,0.000000,3.600000,1.000000
4.000000,0.000000,0.400000,1.000000
4.000000,0.000000,0.800000,1.000000
4.000000,0.000000,1.200000,1.000000
4.000000,0.000000,1.600000,1.000000
4.000000,0.000000,2.000000,1.000000
4.000000,0.000000,2.400000,1.000000
4.000000,0.000000,2.800000,1.000000
4.000000,0.000000,3.200000,1.000000
4.000000,0.000000,3.600000,1.000000
4.000000,4.000000,0.400000,1.000000
4.000000,4.000000,0.800000,1.000000
4.000000,4.000000,1.200000,1.000000
4.000000,4.000000,1.600000,1.000000
4.000000,4.000000,2.000000,1.000000
4.000000,4.000000,2.400000,1.000000
4.000000,4.000000,2.800000,1.000000
4.000000,4.000000,3.200000,1.000000
4.000000,4.000000,3.600000,1.000000
0.000000,4.000000,0.400000,1.000000
0.000000,4.000000,0.800000,1.000000
0.000000,4.000000,1.200000,1.000000
0.000000,4.000000,1.600000,1.000000
0.000000,4.000000,2.000000,1.000000
0.000000,4.000000,2.400000,1.000000
0.000000,4.000000,2.800000,1.000000
0.000000,4.000000,3.200000,1.000000
0.000000,4.000000,3.600000,1.000000
1.800000,3.653590,0.000000,0.447010
0.369472,1.842297,0.000000,0.807715
2.200000,0.346410,0.000000,0.448663
3.660887,2.187361,0.000000,0.813615
2.600000,3.653590,0.000000,0.472484
0.355417,2.603681,0.000000,0.812591
3.653590,1.400000,0.000000,0.810437
1.390121,0.327630,0.000000,0.488333
3.641482,3.034690,0.000000,0.790813
1.003269,3.655477,0.000000,0.561041
