x,y,z,value
4.000000,4.000000,0.000000,0.142000
4.000000,0.000000,0.000000,0.142000
0.000000,4.000000,0.000000,0.442000
0.000000,0.000000,0.000000,0.442000
0.000000,0.000000,4.000000,0.442000
4.000000,0.000000,4.000000,0.142000
4.000000,4.000000,4.000000,0.142000
0.000000,4.000000,4.000000,0.442000
0.400000,0.000000,0.000000,0.417155
0.800000,0.000000,0.000000,0.385593
1.200000,0.000000,0.000000,0.353317
1.600000,0.000000,0.000000,0.321022
2.000000,0.000000,0.000000,0.288848
2.400000,0.000000,0.000000,0.259488
2.800000,0.000000,0.000000,0.230453
3.200000,0.000000,0.000000,0.199118
3.600000,0.000000,0.000000,0.166066
4.000000,0.400000,0.000000,0.142000
4.000000,0.800000,0.000000,0.142000
4.000000,1.200000,0.000000,0.142000
4.000000,1.600000,0.000000,0.142000
4.000000,2.000000,0.000000,0.142000
4.000000,2.400000,0.000000,0.142000
4.000000,2.800000,0.000000,0.142000
4.000000,3.200000,0.000000,0.142000
4.000000,3.600000,0.000000,0.142000
3.600000,4.000000,0.000000,0.166473
3.200000,4.000000,0.000000,0.199982
2.800000,4.000000,0.000000,0.233943
2.400000,4.000000,0.000000,0.262108
2.000000,4.000000,0.000000,0.289408
1.600000,4.000000,0.000000,0.321200
1.200000,4.000000,0.000000,0.353532
0.800000,4.000000,0.000000,0.385659
0.400000,4.000000,0.000000,0.416742
0.000000,3.600000,0.000000,0.442000
0.000000,3.200000,0.000000,0.442000
0.000000,2.800000,0.000000,0.442000
0.000000,2.400000,0.000000,0.442000
0.000000,2.000000,0.000000,0.442000
0.000000,1.600000,0.000000,0.442000
0.000000,1.200000,0.000000,0.442000
0.000000,0.800000,0.000000,0.442000
0.000000,0.400000,0.000000,0.442000
0.400000,0.000000,4.000000,0.418156
0.800000,0.000000,4.000000,0.384215
1.200000,0.000000,4.000000,0.354210
1.600000,0.000000,4.000000,0.322473
2.000000,0.000000,4.000000,0.290088
2.400000,0.000000,4.000000,0.261351
2.800000,0.000000,4.000000,0.228694
3.200000,0.000000,4.000000,0.199714
3.600000,0.000000,4.000000,0.166065
4.000000,0.400000,4.000000,0.142000
4.000000,0.800000,4.000000,0.142000
4.000000,1.200000,4.000000,0.142000
4.000000,1.600000,4.000000,0.142000
4.000000,2.000000,4.000000,0.142000
4.000000,2.400000,4.000000,0.142000
4.000000,2.800000,4.000000,0.142000
4.000000,3.200000,4.000000,0.142000
4.000000,3.600000,4.000000,0.142000
3.600000,4.000000,4.000000,0.165000
3.200000,4.000000,4.000000,0.198582
2.800000,4.000000,4.000000,0.230326
2.400000,4.000000,4.000000,0.260554
2.000000,4.000000,4.000000,0.291192
1.600000,4.000000,4.000000,0.324156
1.200000,4.000000,4.000000,0.356397
0.800000,4.000000,4.000000,0.386263
0.400000,4.000000,4.000000,0.417641
0.000000,3.600000,4.000000,0.442000
0.000000,3.200000,4.000000,0.442000
0.000000,2.800000,4.000000,0.442000
0.000000,2.400000,4.000000,0.442000
0.000000,2.000000,4.000000,0.442000
0.000000,1.600000,4.000000,0.442000
0.000000,1.200000,4.000000,0.442000
0.000000,0.800000,4.000000,0.442000
0.000000,0.400000,4.000000,0.442000
0.000000,0.000000,0.400000,0.442000
0.000000,0.000000,0.800000,0.442000
0.000000,0.000000,1.200000,0.442000
0.000000,0.000000,1.600000,0.442000
0.000000,0.000000,2.000000,0.442000
0.000000,0.000000,2.400000,0.442000
0.000000,0.000000,2.800000,0.442000
0.000000,0.000000,3.200000,0.442000
0.000000,0.000000,3.600000,0.442000
4.000000,0.000000,0.400000,0.142000
4.000000,0.000000,0.800000,0.142000
4.000000,0.000000,1.200000,0.142000
4.000000,0.000000,1.600000,0.142000
4.000000,0.000000,2.000000,0.142000
4.000000,0.000000,2.400000,0.142000
4.000000,0.000000,2.800000,0.142000
4.000000,0.000000,3.200000,0.142000
4.000000,0.000000,3.600000,0.142000
4.000000,4.000000,0.400000,0.142000
4.000000,4.000000,0.800000,0.142000
4.000000,4.000000,1.200000,0.142000
4.000000,4.000000,1.600000,0.142000
4.000000,4.000000,2.000000,0.142000
4.000000,4.000000,2.400000,0.142000
4.000000,4.000000,2.800000,0.142000
4.000000,4.000000,3.200000,0.142000
4.000000,4.000000,3.600000,0.142000
0.000000,4.000000,0.400000,0.442000
0.000000,4.000000,0.800000,0.442000
0.000000,4.000000,1.200000,0.442000
0.000000,4.000000,1.600000,0.442000
0.000000,4.000000,2.000000,0.442000
0.000000,4.000000,2.400000,0.442000
0.000000,4.000000,2.800000,0.442000
0.000000,4.000000,3.200000,0.442000
0.000000,4.000000,3.600000,0.442000
1.800000,3.653590,0.000000,0.304600
0.369472,1.842297,0.000000,0.420188
2.200000,0.346410,0.000000,0.272935
3.660887,2.187361,0.000000,0.163007
2.600000,3.653590,0.000000,0.249503
0.355417,2.603681,0.000000,0.420068
3.653590,1.400000,0.000000,0.164308
1.390121,0.327630,0.000000,0.338328
3.641482,3.034690,0.000000,0.165914
1.003269,3.655477,0.000000,0.368755
2.983915,0.318369,0.000000,0.216563
0.346410,1.000000,0.000000,0.421856
0.362279,3.363270,0.000000,0.418964
3.398305,3.661291,0.000000,0.181626
0.601695,0.338709,0.000000,0.402237
3.668201,0.602373,0.000000,0.162228
1.400545,3.653904,0.000000,0.337752
1.600091,3.307232,0.000000,0.320265
2.000015,3.307189,0.000000,0.291132
1.800018,2.960780,0.000000,0.306315
2.200006,2.960773,0.000000,0.276427
2.000004,2.614362,0.000000,0.289904
1.598664,2.615850,0.000000,0.319094
1.797156,2.269653,0.000000,0.302638
2.199527,2.268234,0.000000,0.275350
1.999447,1.921870,0.000000,0.289659
2.399829,1.921642,0.000000,0.259456
1.596812,1.923333,0.000000,0.320032
1.799376,1.575483,0.000000,0.304827
1.403206,1.577705,0.000000,0.334595
2.599893,2.268014,0.000000,0.248764
2.817817,1.934644,0.000000,0.232385
2.602941,1.577330,0.000000,0.246543
1.195767,1.923128,0.000000,0.347851
1.600430,1.229207,0.000000,0.318446
1.200000,1.228719,0.000000,0.348952
1.999968,1.228859,0.000000,0.290547
1.800000,0.882309,0.000000,0.303914
3.006450,2.280521,0.000000,0.215189
2.801057,2.616466,0.000000,0.232944
3.014143,1.594902,0.000000,0.216872
2.800000,1.228719,0.000000,0.232369
3.200000,2.614359,0.000000,0.199935
2.988574,2.954422,0.000000,0.217059
2.200000,0.882309,0.000000,0.274002
3.243924,1.219014,0.000000,0.198404
2.995095,0.886251,0.000000,0.215427
1.200651,3.307555,0.000000,0.351635
0.797636,3.318793,0.000000,0.382681
0.999714,2.964231,0.000000,0.366178
0.597976,2.972641,0.000000,0.397868
0.786972,2.613945,0.000000,0.382470
0.590026,2.238757,0.000000,0.400172
0.984559,2.259034,0.000000,0.366710
0.802450,1.895534,0.000000,0.380357
0.651833,1.521555,0.000000,0.394603
1.395493,2.269023,0.000000,0.333594
2.400003,3.307182,0.000000,0.262878
3.597674,2.611593,0.000000,0.172200
2.600000,0.346410,0.000000,0.246524
3.663096,1.797894,0.000000,0.163161
3.267182,1.959927,0.000000,0.194131
1.799400,0.335738,0.000000,0.303642
2.200003,3.653592,0.000000,0.275039
0.988758,0.336293,0.000000,0.369818
0.742537,0.717616,0.000000,0.387129
3.652988,1.003565,0.000000,0.163715
2.400081,2.614769,0.000000,0.261910
2.999717,3.654873,0.000000,0.218243
1.396803,0.915331,0.000000,0.335571
2.200260,1.575650,0.000000,0.275680
2.598287,2.960132,0.000000,0.250232
2.797764,3.306230,0.000000,0.234340
2.400528,1.229196,0.000000,0.260629
3.260163,3.273210,0.000000,0.196085
2.600000,0.882309,0.000000,0.247310
1.399856,2.963132,0.000000,0.333928
1.194210,2.614203,0.000000,0.348349
0.612271,3.671490,0.000000,0.400486
3.667015,3.403487,0.000000,0.163637
0.331865,0.599550,0.000000,0.423217
0.756230,1.176337,0.000000,0.385254
3.376374,0.375417,0.000000,0.185007
1.001581,1.553829,0.000000,0.364379
0.318912,1.397405,0.000000,0.422828
3.352212,0.800000,0.000000,0.189179
3.362772,1.597116,0.000000,0.186751
1.159304,0.653600,0.000000,0.354794
0.263134,2.987918,0.000000,0.427293
2.800000,0.614359,0.000000,0.230879
2.400000,0.614359,0.000000,0.260395
2.000000,0.614359,0.000000,0.286792
1.590938,0.621494,0.000000,0.320046
3.330385,2.920577,0.000000,0.192931
0.261025,2.200000,0.000000,0.428123
3.346439,2.330752,0.000000,0.191254
1.045549,0.943956,0.000000,0.361238
3.707180,3.707180,0.000000,0.160573
0.292820,3.707180,0.000000,0.424069
3.707180,0.292820,0.000000,0.159633
0.292820,0.292820,0.000000,0.423858
3.101519,0.598879,0.000000,0.209338
3.623891,0.000000,2.145479,0.167342
0.374426,0.000000,2.148581,0.416570
2.200000,0.000000,0.346410,0.273620
2.200000,0.000000,3.653590,0.274680
3.644583,0.000000,1.396319,0.163778
1.400000,0.000000,3.653590,0.339977
0.355417,0.000000,1.396319,0.421812
1.400000,0.000000,0.346410,0.338236
2.987230,0.000000,3.679744,0.215073
2.996731,0.000000,0.344523,0.215005
0.354900,0.000000,2.991834,0.417851
3.645100,0.000000,2.991834,0.164210
0.362279,0.000000,0.636730,0.420422
0.621776,0.000000,3.618019,0.398229
3.637721,0.000000,0.636730,0.162485
2.599455,0.000000,0.346096,0.246553
2.399909,0.000000,0.692768,0.261646
1.999985,0.000000,0.692812,0.288579
2.199982,0.000000,1.039220,0.276546
1.799995,0.000000,1.039227,0.304744
1.999996,0.000000,1.385638,0.291347
2.399997,0.000000,1.385639,0.260956
2.200000,0.000000,1.732051,0.277562
1.799999,0.000000,1.732050,0.306832
2.000000,0.000000,2.078461,0.289673
2.400000,0.000000,2.078461,0.259386
1.600241,0.000000,2.078600,0.320294
1.800040,0.000000,2.424894,0.305588
1.400288,0.000000,2.425038,0.336374
1.398235,0.000000,1.734021,0.335986
1.600055,0.000000,2.771313,0.320283
2.000008,0.000000,2.771286,0.291076
1.200057,0.000000,2.771314,0.351880
1.800000,0.000000,3.117692,0.306857
1.005196,0.000000,2.424657,0.367104
2.200000,0.000000,3.117692,0.273927
2.400001,0.000000,2.771282,0.258812
2.600000,0.000000,3.117692,0.243564
2.800000,0.000000,2.771281,0.229473
2.992436,0.000000,3.113119,0.214725
3.257131,0.000000,2.785897,0.195636
3.000000,0.000000,2.424871,0.212603
0.743029,0.000000,2.788353,0.389129
1.002933,0.000000,3.115168,0.368088
2.599981,0.000000,1.039220,0.245564
2.799996,0.000000,1.385638,0.229148
2.999996,0.000000,1.039228,0.215519
3.210068,0.000000,1.388587,0.197809
3.001703,0.000000,1.732655,0.212595
3.402907,0.000000,1.029505,0.181238
3.403560,0.000000,1.756917,0.182831
3.200500,0.000000,2.082618,0.197923
2.799345,0.000000,0.692442,0.231363
1.599997,0.000000,0.692818,0.321548
1.399999,0.000000,1.039230,0.337954
1.199999,0.000000,0.692820,0.352724
1.000000,0.000000,1.039230,0.367015
0.796982,0.000000,0.681584,0.384734
0.597932,0.000000,1.027816,0.402103
0.787539,0.000000,1.388494,0.383970
0.589378,0.000000,1.754452,0.402204
0.987722,0.000000,1.742898,0.368842
0.782647,0.000000,2.087372,0.384908
1.000000,0.000000,0.346410,0.369222
1.400000,0.000000,3.117692,0.339096
3.202847,0.000000,0.679586,0.199010
0.346410,0.000000,2.600000,0.417675
2.600000,0.000000,3.653590,0.244750
3.653590,0.000000,2.600000,0.165728
1.799997,0.000000,0.346408,0.304508
1.800000,0.000000,3.653590,0.305226
3.376400,0.000000,3.621755,0.184498
1.016400,0.000000,3.673815,0.367857
1.599704,0.000000,1.385968,0.322288
2.200008,0.000000,2.424876,0.275199
1.195533,0.000000,1.388307,0.352504
2.600283,0.000000,1.732151,0.242872
2.600002,0.000000,2.424872,0.245954
2.800415,0.000000,2.079272,0.227446
1.201449,0.000000,2.079297,0.352476
3.680129,0.000000,3.386684,0.161438
0.319567,0.000000,3.386062,0.422974
3.387786,0.000000,0.328317,0.182020
0.611805,0.000000,0.328780,0.400880
3.352093,0.000000,3.199337,0.188536
0.647907,0.000000,3.199337,0.392992
3.356699,0.000000,2.400832,0.187497
0.648574,0.000000,2.411677,0.396961
2.400000,0.000000,3.385641,0.260967
2.000000,0.000000,3.385641,0.289145
1.600000,0.000000,3.385641,0.324006
1.200000,0.000000,3.385641,0.355380
2.800000,0.000000,3.385641,0.227103
3.737042,0.000000,1.012511,0.155412
0.263126,0.000000,1.012173,0.427434
0.261025,0.000000,1.800000,0.428064
3.736644,0.000000,1.789665,0.158785
3.707180,0.000000,3.707180,0.160260
0.292820,0.000000,0.292820,0.424060
0.292820,0.000000,3.707180,0.425047
3.707180,0.000000,0.292820,0.159068
